x,y
0.014159855,1
0.014159855,1
0.00887419,1
0.00887419,0
0.014159855,0
0.022593779,1
0.022593779,1
0.014159855,1
0.014159855,1
0.00887419,1
0.00887419,0
0.014159855,1
0.014159855,1
0.00887419,1
0.00887419,0
0.011745913,1
0.011745913,1
0.00887419,1
0.00887419,0
0.011745913,1
0.011745913,1
0.010209577,0
0.011745913,1
0.011745913,1
0.010209577,1
0.010209577,1
0.00887419,0
0.009298689,0
0.009743494,0
0.010209577,0
0.010697955,1
0.010697955,0
0.011209694,0
0.011745913,1
0.011745913,0
0.012307782,1
0.012307782,1
0.011745913,0
0.012307782,0
0.012896527,1
0.012896527,1
0.012307782,1
0.012307782,1
0.011745913,1
0.011745913,1
0.011209694,1
0.011209694,0
0.011745913,1
0.011745913,0
0.012307782,1
0.012307782,1
